[background-preinit] INFO  | org.hibernate.validator.internal.util.Version                | HV000001: Hibernate Validator 8.0.2.Final (Version.java:21)
[main] INFO  | com.isi.scolaire.ScolaireApplication                         | Starting ScolaireApplication using Java 21.0.5 with PID 5116 (C:\Users\Kaba\Documents\scolaire-ms\scolaire\target\classes started by Kaba in C:\Users\Kaba\Documents\scolaire-ms) (StartupInfoLogger.java:53)
[main] INFO  | com.isi.scolaire.ScolaireApplication                         | No active profile set, falling back to 1 default profile: "default" (SpringApplication.java:652)
[main] INFO  | org.springframework.data.repository.config.RepositoryConfigurationDelegate | Bootstrapping Spring Data JPA repositories in DEFAULT mode. (RepositoryConfigurationDelegate.java:143)
[main] INFO  | org.springframework.data.repository.config.RepositoryConfigurationDelegate | Finished Spring Data repository scanning in 255 ms. Found 14 JPA repository interfaces. (RepositoryConfigurationDelegate.java:211)
[main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat initialized with port 8092 (http) (TomcatWebServer.java:111)
[main] INFO  | org.apache.coyote.http11.Http11NioProtocol                   | Initializing ProtocolHandler ["http-nio-8092"] (DirectJDKLog.java:173)
[main] INFO  | org.apache.catalina.core.StandardService                     | Starting service [Tomcat] (DirectJDKLog.java:173)
[main] INFO  | org.apache.catalina.core.StandardEngine                      | Starting Servlet engine: [Apache Tomcat/10.1.34] (DirectJDKLog.java:173)
[main] INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext (DirectJDKLog.java:173)
[main] INFO  | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 6575 ms (ServletWebServerApplicationContext.java:296)
[main] DEBUG | org.springframework.web.filter.ServerHttpObservationFilter   | Filter 'webMvcObservationFilter' configured for use (GenericFilterBean.java:240)
[main] DEBUG | org.springframework.web.filter.CorsFilter                    | Filter 'corsFilter' configured for use (GenericFilterBean.java:240)
[main] INFO  | org.hibernate.jpa.internal.util.LogHelper                    | HHH000204: Processing PersistenceUnitInfo [name: default] (LogHelper.java:31)
[main] INFO  | org.hibernate.Version                                        | HHH000412: Hibernate ORM core version 6.6.5.Final (Version.java:44)
[main] INFO  | org.hibernate.cache.internal.RegionFactoryInitiator          | HHH000026: Second-level cache disabled (RegionFactoryInitiator.java:50)
[main] INFO  | org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo | No LoadTimeWeaver setup: ignoring JPA class transformer (SpringPersistenceUnitInfo.java:87)
[main] INFO  | com.zaxxer.hikari.HikariDataSource                           | HikariPool-1 - Starting... (HikariDataSource.java:109)
[main] INFO  | com.zaxxer.hikari.pool.HikariPool                            | HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@5b1f0f26 (HikariPool.java:554)
[main] INFO  | com.zaxxer.hikari.HikariDataSource                           | HikariPool-1 - Start completed. (HikariDataSource.java:122)
[main] WARN  | org.hibernate.orm.deprecation                                | HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default) (DialectFactoryImpl.java:153)
[main] INFO  | org.hibernate.orm.connections.pooling                        | HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 17.4
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown (JdbcEnvironmentInitiator.java:157)
[main] INFO  | org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator | HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration) (JtaPlatformInitiator.java:59)
[main] INFO  | org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean | Initialized JPA EntityManagerFactory for persistence unit 'default' (AbstractEntityManagerFactoryBean.java:447)
[main] WARN  | org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning (JpaBaseConfiguration.java:241)
[main] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | 86 mappings in 'requestMappingHandlerMapping' (AbstractHandlerMethodMapping.java:366)
[main] DEBUG | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | Patterns [/webjars/**, /**, /swagger-ui*/*swagger-initializer.js, /swagger-ui*/**] in 'resourceHandlerMapping' (SimpleUrlHandlerMapping.java:187)
[main] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter | ControllerAdvice beans: 0 @ModelAttribute, 0 @InitBinder, 1 RequestBodyAdvice, 1 ResponseBodyAdvice (RequestMappingHandlerAdapter.java:666)
[main] DEBUG | org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver | ControllerAdvice beans: 2 @ExceptionHandler, 1 ResponseBodyAdvice (ExceptionHandlerExceptionResolver.java:336)
[main] INFO  | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver | Exposing 15 endpoints beneath base path '/actuator' (EndpointLinksResolver.java:60)
[main] INFO  | org.apache.coyote.http11.Http11NioProtocol                   | Starting ProtocolHandler ["http-nio-8092"] (DirectJDKLog.java:173)
[main] INFO  | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | Tomcat started on port 8092 (http) with context path '/' (TomcatWebServer.java:243)
[main] INFO  | com.isi.scolaire.ScolaireApplication                         | Started ScolaireApplication in 16.576 seconds (process running for 19.203) (StartupInfoLogger.java:59)
[RMI TCP Connection(3)-192.168.1.2] INFO  | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] | Initializing Spring DispatcherServlet 'dispatcherServlet' (DirectJDKLog.java:173)
[RMI TCP Connection(3)-192.168.1.2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Initializing Servlet 'dispatcherServlet' (FrameworkServlet.java:532)
[RMI TCP Connection(3)-192.168.1.2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Detected StandardServletMultipartResolver (DispatcherServlet.java:532)
[RMI TCP Connection(3)-192.168.1.2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Detected AcceptHeaderLocaleResolver (DispatcherServlet.java:556)
[RMI TCP Connection(3)-192.168.1.2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Detected FixedThemeResolver (DispatcherServlet.java:582)
[RMI TCP Connection(3)-192.168.1.2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Detected org.springframework.web.servlet.view.DefaultRequestToViewNameTranslator@34b69a14 (DispatcherServlet.java:732)
[RMI TCP Connection(3)-192.168.1.2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Detected org.springframework.web.servlet.support.SessionFlashMapManager@727d937a (DispatcherServlet.java:796)
[RMI TCP Connection(3)-192.168.1.2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | enableLoggingRequestDetails='false': request parameters and headers will be masked to prevent unsafe logging of potentially sensitive data (FrameworkServlet.java:549)
[RMI TCP Connection(3)-192.168.1.2] INFO  | org.springframework.web.servlet.DispatcherServlet            | Completed initialization in 8 ms (FrameworkServlet.java:554)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/students", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.student.StudentController#getAllStudents() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/teachers", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.teacher.TeacherController#getAllTeachers() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/registrations", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.registration.RegistrationController#getAllRegistrations() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/courses", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.courses.CourseController#getAllCourses() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-8] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/subjects", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.subjects.SubjectController#getAllSubjects() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-10] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/sessions", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.sessions.SessionController#getAllSessions() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-2] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/sectors", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.sectors.SectorController#getAllSectors() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-4] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/subjects", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.subjects.SubjectController#getAllSubjects() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.DispatcherServlet            | GET "/classes", parameters={} (LogFormatUtils.java:120)
[http-nio-8092-exec-9] DEBUG | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | Mapped to com.isi.scolaire.classes.ClasseController#getAllClasses() (AbstractHandlerMapping.java:533)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Using 'application/json', given [application/json, text/plain, */*] and supported [application/json, application/*+json, application/yaml] (AbstractMessageConverterMethodProcessor.java:310)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.mvc.method.annotation.HttpEntityMethodProcessor | Writing [[]] (LogFormatUtils.java:120)
[http-nio-8092-exec-6] DEBUG | org.springframework.web.servlet.DispatcherServlet            | Completed 200 OK (FrameworkServlet.java:1138)
